gene.name,LAS1L Up,TEX10 Up,PELP1 Up,SENP3 Up,WDR18 Up,LAS1L Down,TEX10 Down,PELP1 Down,SENP3 Down,WDR18 Down,ChIP,,,,
ANKRD1,0,0,0,0,0,0,0,0,0,1,1,,,,
EPB41L4A-AS1,0,0,0,1,1,0,0,0,0,0,1,,,,
C1orf228,0,0,0,0,1,0,0,0,0,0,1,,,,
ZBTB9,0,0,0,0,0,0,0,0,0,0,1,,,,
MIEF1,0,0,0,0,0,0,0,0,0,0,1,,,,
KDSR,0,0,0,0,0,0,0,0,0,0,1,,,,
SRPK2,0,0,0,0,0,0,0,0,0,0,1,,,,
PLEK2,0,0,0,0,0,0,0,0,1,0,1,,,,
COTL1,0,0,0,0,0,0,0,0,0,0,1,,,,
UBE2K,0,0,0,0,0,0,0,0,0,0,1,,,,
NHSL1,0,0,0,0,0,0,0,0,0,1,1,,,,
ZNF92,0,0,1,1,1,0,0,0,0,0,1,,,,
FAM134C,0,0,0,0,0,0,0,0,0,0,1,,,,
SHISA5,0,0,0,0,0,0,0,0,0,0,1,,,,
PTEN,0,0,0,0,0,0,0,0,0,0,1,,,,
ZNF276,0,0,0,0,0,0,0,0,0,0,1,,,,
DECR2,0,0,0,0,0,0,0,0,0,0,1,,,,
USP2,0,0,0,0,0,0,0,0,1,0,1,,,,
GPR19,0,0,0,1,1,0,0,0,0,0,1,,,,
HRASLS2,0,0,0,1,1,0,0,0,0,0,1,,,,
BAG3,0,0,0,0,0,0,0,0,1,0,1,,,,
LIN9,0,0,1,1,0,0,0,0,0,0,1,,,,
TAF15,0,0,0,0,0,0,0,0,0,1,1,,,,
SSR3,0,0,0,1,0,0,0,0,0,0,1,,,,
RNF187,0,0,0,0,0,0,0,0,1,0,1,,,,
RNF146,0,0,0,0,0,0,0,0,0,0,1,,,,
BRD2,0,0,0,0,0,0,0,0,0,0,1,,,,
LRRC66,0,0,0,0,0,0,0,1,0,0,1,,,,
MATN2,0,0,0,0,0,0,0,0,1,1,1,,,,
APOPT1,0,0,0,0,0,0,0,0,0,0,1,,,,
CHCHD5,0,0,0,0,0,0,0,0,0,0,1,,,,
BABAM1,0,0,0,0,0,0,0,0,0,0,1,,,,
S1PR5,0,0,0,0,1,0,0,0,0,0,1,,,,
UGDH,0,0,0,0,0,0,0,0,0,0,1,,,,
UBE2F,0,0,1,0,1,0,0,0,0,0,1,,,,
OCLN,0,0,0,0,0,0,0,0,0,0,1,,,,
DDA1,0,0,0,0,0,0,0,0,0,0,1,,,,
KATNA1,0,0,0,0,0,0,0,0,0,0,1,,,,
GLIS3,0,0,0,1,1,0,0,0,0,0,1,,,,
PSMC2,0,0,0,0,0,0,0,0,0,0,1,,,,
MFAP3L,0,0,1,0,0,0,0,0,0,1,1,,,,
CPT1A,0,0,0,0,0,0,0,0,0,0,1,,,,
DRG2,0,0,0,0,0,0,0,0,0,0,1,,,,
NTF4,0,0,0,0,1,0,0,0,0,0,1,,,,
ESYT3,0,0,0,0,0,0,0,0,0,1,1,,,,
ZDHHC3,0,0,0,0,0,0,0,0,0,0,1,,,,
NUS1,0,0,0,0,0,0,0,0,0,0,1,,,,
PPP1R11,0,0,0,0,0,0,0,0,0,0,1,,,,
TTLL1,0,0,0,0,0,0,0,0,0,0,1,,,,
TPBGL,0,0,0,0,0,0,0,0,1,1,1,,,,
SLC25A24,0,0,0,0,0,0,0,0,0,0,1,,,,
PRELID2,0,0,0,0,0,0,0,0,0,0,1,,,,
RPIA,0,0,0,0,0,0,0,0,0,0,1,,,,
RALY,0,0,0,0,0,0,0,0,0,0,1,,,,
NUDT4,0,0,0,0,0,0,0,0,0,0,1,,,,
SOS2,0,0,0,0,0,0,0,0,0,0,1,,,,
ZNF292,0,0,0,0,0,0,0,0,0,0,1,,,,
PKN1,0,0,0,0,0,0,0,0,0,0,1,,,,
DRG1,0,0,0,0,0,0,0,0,0,0,1,,,,
FNDC3A,0,0,0,0,0,0,1,0,0,0,1,,,,
C1orf27,0,0,0,1,0,0,0,0,0,0,1,,,,
SERHL2,0,0,0,0,1,0,0,0,0,0,1,,,,
HEATR1,0,0,0,0,0,0,0,0,0,0,1,,,,
RBM43,0,0,0,1,1,0,0,0,0,0,1,,,,
IPO7,0,0,0,0,0,0,0,0,0,0,1,,,,
ANKRD50,0,0,0,0,0,0,0,0,0,0,1,,,,
LPCAT1,0,0,0,0,0,0,0,0,0,0,1,,,,
AMPD2,0,0,0,0,0,0,0,0,1,0,1,,,,
PTGES2,0,0,0,0,0,0,0,0,0,0,1,,,,
C2orf82,0,0,0,0,0,0,0,0,0,1,1,,,,
TMEM127,0,0,0,0,0,0,0,0,0,0,1,,,,
GFM2,0,0,0,0,0,0,1,0,0,0,1,,,,
ERVK13-1,0,0,0,1,1,0,0,0,0,0,1,,,,
PRDX6,0,0,0,0,0,0,0,0,0,0,1,,,,
KIAA1024,0,0,0,0,1,0,0,0,0,0,1,,,,
RNF152,0,0,0,0,0,0,0,0,1,1,1,,,,
RMDN2,0,0,0,0,1,0,0,0,0,0,1,,,,
SPC25,0,0,0,1,1,0,0,0,0,0,1,,,,
ZC4H2,0,0,0,0,0,0,0,0,1,0,1,,,,
HIGD1A,0,0,0,1,1,0,0,0,0,0,1,,,,
CDSN,0,0,0,0,1,0,0,0,0,0,1,,,,
CNTROB,0,0,0,0,0,0,0,0,0,0,1,,,,
GABBR2,0,0,0,0,0,0,0,0,0,1,1,,,,
DFFB,0,0,0,0,0,0,0,0,0,0,1,,,,
C9orf84,0,0,1,1,1,0,0,0,0,0,1,,,,
EPB41L1,0,0,0,0,0,0,0,1,1,0,1,,,,
THADA,0,0,0,0,0,0,0,0,0,0,1,,,,
EED,0,0,0,0,0,0,0,0,0,0,1,,,,
HEG1,0,0,0,0,1,0,0,0,0,0,1,,,,
WDR83,0,0,0,0,0,0,0,0,0,0,1,,,,
C12orf80,0,0,0,0,1,0,0,0,0,0,1,,,,
FGD5,0,0,0,0,1,0,0,1,0,0,1,,,,
ELOVL5,0,0,0,1,1,0,0,0,0,0,1,,,,
AGR3,0,0,0,0,1,0,0,0,0,0,1,,,,
B4GALT5,0,0,0,0,0,0,0,1,0,0,1,,,,
EML2,0,0,0,0,0,0,0,0,1,0,1,,,,
HOXB9,0,0,0,0,0,0,0,0,0,0,1,,,,
TIGD5,0,0,0,0,0,0,0,0,0,1,1,,,,
SERTAD4-AS1,0,0,0,1,1,0,0,0,0,0,1,,,,
COBL,0,0,0,0,0,0,0,0,1,0,1,,,,
POLM,0,0,0,0,0,0,0,0,0,0,1,,,,
SOCS4,0,0,0,1,0,0,0,0,0,0,1,,,,
KIAA2013,0,0,0,0,0,0,0,0,1,0,1,,,,
C14orf28,0,0,1,1,1,0,0,0,0,0,1,,,,
RNASEK,0,0,0,0,0,0,0,0,0,1,1,,,,
PSG4,0,0,0,0,0,0,0,0,0,1,1,,,,
ZNF519,0,0,0,1,1,0,0,0,0,0,1,,,,
CHRM3,0,0,0,0,0,0,0,0,0,1,1,,,,
SMARCA4,0,0,0,0,0,0,0,0,1,1,1,,,,
MCL1,0,0,0,0,0,1,0,0,0,0,1,,,,
ANXA2P2,0,0,0,1,1,0,0,0,0,0,1,,,,
RSG1,0,0,0,0,0,0,0,0,1,1,1,,,,
RPL23AP82,0,0,0,0,0,0,0,0,0,0,1,,,,
HECTD4,0,0,0,0,0,0,0,0,0,0,1,,,,
MRPL20,0,0,0,0,0,0,0,0,0,0,1,,,,
NENF,1,0,0,0,0,0,0,0,0,0,1,,,,
FAM174B,0,0,0,0,0,0,0,1,0,0,1,,,,
SNX29P2,0,0,0,0,0,0,0,1,0,1,1,,,,
CDC42BPB,0,0,0,0,0,0,0,0,1,0,1,,,,
RANBP3,0,0,0,0,0,0,0,0,0,0,1,,,,
NAA35,0,0,0,0,0,0,0,0,0,0,1,,,,
SLC17A5,0,0,0,0,0,0,0,0,0,0,1,,,,
MORF4L2,0,0,0,0,0,0,0,0,0,0,1,,,,
MFF,0,0,0,0,0,0,0,0,0,0,1,,,,
P2RY2,0,0,0,0,0,0,0,1,1,1,1,,,,
OAZ2,0,0,0,0,0,0,0,0,0,0,1,,,,
GCFC2,0,0,1,1,0,0,0,0,0,0,1,,,,
ATP6V1G1,0,0,0,0,0,0,0,0,0,0,1,,,,
WDHD1,0,0,0,0,0,0,0,0,0,0,1,,,,
NCCRP1,0,0,0,0,1,0,0,0,0,0,1,,,,
DACT2,0,0,0,0,0,0,0,0,0,0,1,,,,
CTTNBP2NL,0,0,0,0,0,0,0,0,0,0,1,,,,
MEX3D,0,0,0,0,0,0,0,0,0,0,1,,,,
EIF3L,0,0,0,0,0,0,0,0,0,0,1,,,,
AP5Z1,0,0,0,0,0,0,0,0,0,0,1,,,,
AHI1,0,0,1,1,1,0,0,0,0,0,1,,,,
C11orf86,0,0,0,0,0,0,0,1,1,1,1,,,,
MTMR9,0,0,0,0,0,0,0,0,0,0,1,,,,
GOLT1A,0,0,0,0,0,0,0,0,1,0,1,,,,
TENM4,0,0,0,0,0,0,0,0,1,1,1,,,,
PPM1H,0,0,0,0,0,0,0,0,0,0,1,,,,
TRIT1,0,0,0,0,0,0,0,0,0,0,1,,,,
PPP6C,0,0,0,0,0,0,0,0,0,0,1,,,,
CEBPA,0,0,0,0,0,0,0,0,1,1,1,,,,
TAGLN2,0,0,0,0,0,0,0,0,1,0,1,,,,
SBF2-AS1,0,0,0,1,0,0,0,0,0,0,1,,,,
DUSP13,0,0,0,1,1,0,0,0,0,0,1,,,,
ZNF175,0,0,0,0,0,0,0,0,0,0,1,,,,
NEK4,0,0,0,0,0,0,0,0,0,0,1,,,,
EIF4ENIF1,0,0,0,0,0,0,0,0,0,0,1,,,,
ATP13A4,0,0,0,0,0,0,0,0,1,1,1,,,,
LSS,0,0,1,0,0,0,0,0,1,1,1,,,,
SETD4,0,0,0,1,0,0,0,0,0,0,1,,,,
CHERP,0,0,0,0,0,0,0,1,1,1,1,,,,
GPR146,0,0,0,0,1,0,0,0,0,0,1,,,,
DAP3,0,0,0,0,0,0,0,0,0,0,1,,,,
ACD,0,0,0,0,0,0,0,0,0,0,1,,,,
ZNF284,0,0,0,0,0,0,0,0,0,1,1,,,,
TRIM16,0,0,0,0,0,0,0,0,0,0,1,,,,
TMEM50A,0,0,0,0,0,0,0,0,0,0,1,,,,
POU6F2,0,0,0,0,0,0,0,0,1,1,1,,,,
CD9,0,0,0,0,0,0,0,0,0,0,1,,,,
TMEM44,0,0,0,0,0,0,0,0,0,0,1,,,,
F5,0,0,0,0,0,0,0,0,1,1,1,,,,
RAI14,0,0,0,0,0,0,0,0,0,0,1,,,,
CHST2,0,0,0,0,0,0,0,1,0,1,1,,,,
ZNF398,0,0,0,0,0,0,0,0,0,0,1,,,,
TIAF1,0,0,0,0,0,0,0,0,0,1,1,,,,
PAK6,0,0,0,0,1,0,0,0,0,0,1,,,,
SLC37A4,0,0,0,0,0,0,0,0,0,0,1,,,,
PIGK,0,0,0,0,0,0,0,0,0,0,1,,,,
KIAA1107,0,0,0,0,1,0,0,0,0,0,1,,,,
L3MBTL1,0,0,0,1,1,0,0,0,0,0,1,,,,
SDC1,0,0,0,0,0,0,0,0,0,0,1,,,,
MVB12A,0,0,0,0,0,0,0,0,0,0,1,,,,
ARAF,0,0,0,0,0,0,0,0,0,0,1,,,,
PLA2G6,0,0,0,0,0,0,0,0,1,0,1,,,,
IQUB,0,0,0,0,1,0,0,0,0,0,1,,,,
ACRBP,0,0,0,0,1,0,0,0,0,0,1,,,,
NAA50,0,0,1,0,0,0,0,0,0,0,1,,,,
ATG13,0,0,0,0,0,0,0,0,1,0,1,,,,
UBAP2L,0,0,0,0,0,0,0,0,0,0,1,,,,
PIGM,0,0,0,0,0,0,0,0,0,0,1,,,,
TAF11,0,0,0,0,0,0,0,0,0,0,1,,,,
C14orf79,0,0,0,0,0,0,0,0,0,0,1,,,,
ST6GALNAC1,0,0,0,0,0,0,0,0,0,0,1,,,,
POLR2A,0,0,0,0,0,0,0,0,1,1,1,,,,
GGN,0,0,0,0,0,0,0,0,1,1,1,,,,
COQ5,0,0,0,0,0,0,0,0,0,0,1,,,,
LINC01091,0,0,0,0,1,0,0,0,0,0,1,,,,
IQCE,0,0,0,0,0,0,0,0,0,0,1,,,,
CCDC22,0,0,0,0,0,0,0,0,1,0,1,,,,
HMGN4,0,0,0,0,0,0,0,0,0,0,1,,,,
KCNS1,0,0,0,0,0,0,0,0,1,1,1,,,,
TMEM45A,0,0,0,0,0,0,0,0,1,1,1,,,,
LDHA,0,0,0,0,0,0,0,0,0,0,1,,,,
MED11,0,0,0,0,0,0,0,0,0,1,1,,,,
MSANTD4,0,0,0,1,0,0,0,0,0,0,1,,,,
GAL,0,0,0,0,0,0,0,0,0,1,1,,,,
KSR1,0,0,0,0,0,0,0,0,1,0,1,,,,
SRSF3,0,0,0,0,0,0,0,0,0,0,1,,,,
ARTN,0,0,0,0,1,0,0,0,0,0,1,,,,
GLI1,0,0,0,0,0,0,0,0,1,1,1,,,,
INO80,0,0,0,0,0,0,0,0,0,0,1,,,,
BFSP1,0,0,0,0,1,0,0,0,0,0,1,,,,
DENND6B,0,0,0,0,0,0,0,0,0,0,1,,,,
CCDC115,0,0,0,0,0,0,0,0,0,0,1,,,,
POP1,0,0,0,0,0,0,0,0,0,1,1,,,,
CEBPA-AS1,0,0,0,0,0,0,0,0,0,1,1,,,,
DOK1,0,0,0,0,0,0,0,0,1,0,1,,,,
DENND1C,0,0,0,0,0,0,0,0,1,0,1,,,,
ITGB2,0,0,0,0,1,0,0,1,0,0,1,,,,
NUAK1,0,0,0,0,1,0,0,0,0,0,1,,,,
POT1-AS1,0,0,0,1,1,0,0,0,0,0,1,,,,
ARL13B,0,0,0,0,0,0,0,0,0,0,1,,,,
ZNF174,0,0,0,0,0,0,0,0,0,0,1,,,,
PSORS1C1,0,0,0,0,1,0,0,0,0,0,1,,,,
TXNDC5,0,0,0,0,0,0,0,1,0,1,1,,,,
TSEN34,0,0,0,0,0,0,0,0,1,0,1,,,,
SLC35E4,0,0,0,0,0,0,0,0,1,1,1,,,,
APOH,0,0,0,0,1,0,0,0,0,0,1,,,,
MIR146A,0,0,0,1,1,0,0,0,0,0,1,,,,
SLC16A7,0,0,0,1,1,0,1,0,0,0,1,,,,
DDX58,0,0,0,0,0,0,0,0,0,0,1,,,,
GINS1,0,0,0,0,0,0,0,0,0,0,1,,,,
MYO15B,0,0,0,0,0,0,0,1,1,0,1,,,,
PTP4A1,0,0,0,0,0,0,0,0,0,0,1,,,,
ZNF785,0,0,0,0,1,0,0,0,0,0,1,,,,
MOB2,0,0,0,0,0,0,0,0,0,0,1,,,,
RYR2,0,0,0,0,0,1,0,1,0,1,1,,,,
RTFDC1,0,0,0,0,0,0,0,0,0,0,1,,,,
GNA13,0,0,0,0,0,0,0,0,0,0,1,,,,
A2M-AS1,0,0,0,1,1,0,0,0,0,0,1,,,,
FANCF,0,0,1,0,0,0,0,0,0,0,1,,,,
CMSS1,0,0,0,0,0,0,0,0,0,0,1,,,,
UBA1,0,0,0,0,0,0,0,0,1,1,1,,,,
ANKRD11,0,0,0,0,0,0,0,0,0,0,1,,,,
FBXO30,0,0,0,0,0,0,0,0,0,0,1,,,,
GJB7,0,0,0,0,1,0,0,0,0,0,1,,,,
TOP1,0,0,0,0,0,1,0,0,0,1,1,,,,
IFT74,0,0,1,0,1,0,0,0,0,0,1,,,,
BEGAIN,0,0,0,0,0,0,0,1,1,1,1,,,,
NIPA2,0,0,0,0,0,0,0,0,0,0,1,,,,
GJB1,0,0,0,0,1,0,0,0,0,0,1,,,,
ANXA4,0,0,0,0,0,0,0,0,0,0,1,,,,
DPYD,0,0,0,0,0,0,0,0,1,1,1,,,,
DRD1,0,0,0,0,0,0,0,0,0,1,1,,,,
LCA5L,0,0,0,1,1,0,0,0,0,0,1,,,,
CRYL1,0,0,0,0,0,0,0,0,0,0,1,,,,
LINC01057,0,0,0,0,1,0,0,0,0,0,1,,,,
C3,0,0,0,0,1,0,0,0,0,0,1,,,,
STAT4,0,0,0,1,1,0,0,0,0,0,1,,,,
MGAT1,0,0,0,0,0,0,0,1,0,0,1,,,,
HNRNPAB,0,0,0,0,0,0,0,0,0,0,1,,,,
ALLC,0,0,0,0,0,0,0,0,0,1,1,,,,
BTBD9,0,0,0,0,0,0,0,0,1,0,1,,,,
TNRC6B,0,0,0,0,0,0,0,1,1,0,1,,,,
WFDC13,0,0,0,0,1,0,0,0,0,0,1,,,,
KDM3B,0,0,0,0,0,0,0,0,0,0,1,,,,
KCNK2,0,0,0,0,1,0,0,0,0,0,1,,,,
RND3,0,0,0,1,0,0,0,0,0,0,1,,,,
MYO15A,0,0,0,0,1,0,0,0,0,0,1,,,,
MIR3916,0,0,0,1,1,0,0,0,0,0,1,,,,
PI4K2A,0,0,0,0,0,0,0,1,1,0,1,,,,
UPP1,0,0,0,0,0,0,0,1,0,0,1,,,,
TM4SF1-AS1,0,0,0,0,1,0,0,0,0,0,1,,,,
ATP5G3,0,0,0,0,0,0,0,0,0,0,1,,,,
RPL36A,0,0,0,1,1,0,0,0,0,0,1,,,,
HBS1L,0,0,0,0,0,0,0,0,0,0,1,,,,
MAT2B,0,0,0,0,0,0,0,0,0,0,1,,,,
PPP1R16A,0,0,0,0,0,0,0,0,0,0,1,,,,
CNFN,0,0,0,0,0,0,0,0,1,1,1,,,,
AK7,0,0,0,0,1,0,0,0,0,0,1,,,,
CORO1B,0,0,0,0,0,0,0,0,1,0,1,,,,
MGAT5B,0,0,0,0,0,0,0,0,0,1,1,,,,
RNF123,0,0,0,0,0,0,0,0,0,0,1,,,,
SESN2,0,0,0,0,0,0,0,0,0,0,1,,,,
ARHGEF16,0,0,0,0,0,0,0,0,1,0,1,,,,
C2orf48,0,0,0,1,1,0,0,0,0,0,1,,,,
ANKMY1,0,0,0,0,0,0,0,0,0,0,1,,,,
CCNA2,0,0,0,0,0,0,0,0,0,0,1,,,,
RASA3,0,0,0,0,0,0,0,0,1,0,1,,,,
JAG2,0,0,0,0,0,0,0,1,1,0,1,,,,
SPATA6,0,0,0,1,1,0,0,0,0,0,1,,,,
CD8A,0,0,0,0,0,0,0,0,0,1,1,,,,
MCUR1,0,0,0,0,0,0,0,0,0,0,1,,,,
GUCA2A,0,0,0,0,0,0,0,1,0,0,1,,,,
TMTC2,0,0,0,0,0,0,0,1,0,0,1,,,,
CCR3,0,0,0,1,1,0,0,0,0,0,1,,,,
PIGF,0,0,0,1,0,0,0,0,0,0,1,,,,
GALNT18,0,0,0,1,1,0,0,0,0,0,1,,,,
DYNC1LI2,0,0,0,0,0,0,0,0,0,0,1,,,,
CAMLG,0,0,0,1,0,0,0,0,0,0,1,,,,
ESCO1,0,0,1,1,1,0,0,0,0,0,1,,,,
RPLP1,0,0,0,0,0,0,0,0,0,0,1,,,,
MCEE,0,0,0,1,1,0,0,0,0,0,1,,,,
AFP,0,0,0,0,0,0,0,0,1,1,1,,,,
ATG14,0,0,0,0,0,0,0,0,0,0,1,,,,
RAB11FIP5,0,0,0,0,0,0,0,0,1,0,1,,,,
ZNF106,0,0,0,0,0,0,0,0,0,0,1,,,,
CEP112,0,0,0,1,1,0,0,0,0,0,1,,,,
TRAPPC8,0,0,1,0,0,0,0,0,0,0,1,,,,
RPTN,0,0,0,0,0,0,0,1,0,1,1,,,,
AZI2,0,0,0,0,0,0,0,0,0,0,1,,,,
PDXP,0,0,0,0,0,0,0,0,1,1,1,,,,
WDR54,0,0,0,0,0,0,0,0,1,0,1,,,,
ROBO1,0,0,0,0,0,0,0,0,0,0,1,,,,
PCBD1,0,0,0,0,0,0,0,0,0,0,1,,,,
RNF32,0,0,1,1,0,0,0,0,0,0,1,,,,
IMPDH1,0,0,0,0,0,0,0,0,0,0,1,,,,
U2AF1L4,0,0,0,0,0,0,0,0,0,1,1,,,,
AHNAK,0,0,0,0,0,0,0,1,1,1,1,,,,
SUV39H2,0,0,1,1,0,0,0,0,0,0,1,,,,
SPIRE2,0,0,0,0,0,0,0,1,1,0,1,,,,
MMP28,0,0,0,0,0,0,0,1,0,0,1,,,,
ANKRD12,0,0,0,1,1,0,0,0,0,0,1,,,,
PNPLA7,0,0,0,0,1,0,0,0,0,0,1,,,,
MAN2A2,0,0,0,0,0,0,0,0,0,0,1,,,,
EIF4EBP3,0,0,0,0,1,0,0,0,0,0,1,,,,
MAB21L3,0,0,0,0,1,0,0,0,0,0,1,,,,
CCDC18,0,0,1,1,1,0,0,0,0,0,1,,,,
STK25,0,0,0,0,0,0,0,0,0,0,1,,,,
STARD3NL,0,0,0,0,0,0,0,0,0,0,1,,,,
TFCP2,0,0,0,0,0,0,0,0,0,0,1,,,,
ARNTL2,0,0,0,1,0,0,1,0,0,0,1,,,,
ANKFY1,0,0,0,0,0,0,0,0,0,0,1,,,,
ZC3H13,0,0,0,0,0,0,0,0,0,1,1,,,,
ZNF367,0,0,0,0,0,0,0,0,0,0,1,,,,
TET3,0,0,0,0,0,0,0,0,1,0,1,,,,
GUCY1B2,0,0,0,1,1,0,0,0,0,0,1,,,,
MAP3K7,0,0,0,0,0,0,0,0,0,0,1,,,,
TRIOBP,0,0,0,0,0,0,0,0,0,0,1,,,,
FAM129B,0,0,0,0,0,0,0,0,1,0,1,,,,
CKAP5,0,0,0,0,0,0,0,0,1,1,1,,,,
NADSYN1,0,0,0,0,0,0,0,0,0,0,1,,,,
NFE2L1,0,0,0,0,0,0,0,0,1,0,1,,,,
CXorf57,0,0,0,0,0,0,0,0,0,0,1,,,,
PLXNB3,0,0,0,0,1,0,0,1,0,0,1,,,,
RBM4B,0,0,0,0,0,0,0,0,0,0,1,,,,
GLOD4,0,0,0,0,0,0,0,0,0,0,1,,,,
NPNT,0,0,0,1,1,0,0,0,0,0,1,,,,
DPYSL4,0,0,0,0,0,0,0,0,0,1,1,,,,
JMJD8,0,0,0,0,0,0,0,0,0,0,1,,,,
MTX3,0,0,0,0,0,0,1,0,0,0,1,,,,
SREBF2,0,0,0,0,0,0,0,0,1,0,1,,,,
TIMM21,0,0,0,0,0,0,0,0,0,0,1,,,,
SPACA3,0,0,0,0,1,0,0,0,0,0,1,,,,
RBM26-AS1,0,0,0,1,1,0,0,0,0,0,1,,,,
CCNYL1,0,0,0,0,0,0,0,0,0,0,1,,,,
AUH,0,0,1,0,0,0,0,0,0,0,1,,,,
KHSRP,0,0,0,0,0,0,0,0,0,0,1,,,,
CPOX,0,0,0,0,0,0,0,0,0,0,1,,,,
RANBP17,0,0,1,1,0,0,0,0,0,0,1,,,,
ZNF629,0,0,0,0,0,0,0,0,0,0,1,,,,
PPM1M,0,0,0,0,0,0,0,0,0,0,1,,,,
MFN1,0,0,0,0,0,0,0,0,0,0,1,,,,
NFS1,0,0,0,0,0,0,0,0,0,0,1,,,,
GLRA3,0,0,0,0,1,0,0,0,0,0,1,,,,
GREB1,0,0,0,0,0,0,0,0,0,1,1,,,,
KLF6,0,0,0,0,0,0,0,0,0,0,1,,,,
IL11,0,0,0,0,0,0,0,0,0,1,1,,,,
CCSER2,0,0,0,0,0,0,0,0,0,0,1,,,,
LDHD,1,1,0,0,0,0,0,0,1,0,1,,,,
VAC14,0,0,0,0,0,0,0,0,0,0,1,,,,
P2RX5,0,0,0,1,1,0,0,0,0,0,1,,,,
CEP57L1,0,0,0,1,1,0,0,0,0,0,1,,,,
GPS2,0,0,0,0,1,0,0,0,0,0,1,,,,
SCO1,0,0,0,0,0,0,0,0,0,0,1,,,,
MIA3,0,0,0,0,0,0,0,0,0,0,1,,,,
ZC3H14,0,0,0,0,0,0,0,0,0,0,1,,,,
DIS3L,0,0,0,0,0,0,0,0,0,0,1,,,,
EXTL3-AS1,0,0,0,1,1,0,0,0,0,0,1,,,,
Dec-01,0,0,0,0,0,0,0,0,0,1,1,,,,
INHBB,0,0,0,1,0,1,0,1,0,0,1,,,,
SAMD10,0,0,0,0,0,0,0,0,1,0,1,,,,
PRIM1,0,0,0,1,0,0,0,0,0,0,1,,,,
KRTAP19-1,0,0,0,0,0,0,0,0,0,1,1,,,,
RABEPK,0,0,0,0,0,0,0,0,0,0,1,,,,
NXN,0,0,0,0,0,0,0,0,0,0,1,,,,
PYGB,0,0,0,0,0,0,0,0,1,0,1,,,,
TCF3,0,0,0,0,0,0,0,0,1,0,1,,,,
RPL7L1,0,0,0,0,0,0,0,0,0,0,1,,,,
TRIM44,0,0,0,0,0,0,0,0,0,0,1,,,,
ZC3H12D,0,0,0,0,0,0,0,0,1,1,1,,,,
CCDC90B,0,0,0,1,0,0,0,0,0,0,1,,,,
DUSP6,0,0,0,0,0,0,0,0,0,0,1,,,,
INHBA,0,0,0,0,0,0,0,0,1,1,1,,,,
SPRY1,0,0,0,0,0,0,0,0,0,0,1,,,,
RAD51,0,0,0,0,0,0,0,0,0,0,1,,,,
G6PD,0,0,0,0,0,0,0,0,1,0,1,,,,
CACNA1I,0,0,0,0,1,0,0,1,0,0,1,,,,
BRI3BP,0,0,0,0,0,0,0,0,0,0,1,,,,
ABCC5,0,0,0,0,0,0,0,0,0,0,1,,,,
QRICH1,0,0,0,0,0,0,0,0,0,0,1,,,,
NUDT16,0,0,0,0,0,0,0,0,0,0,1,,,,
RBPMS-AS1,0,0,0,0,1,0,0,0,0,0,1,,,,
ZNF530,0,0,0,0,0,0,0,0,0,1,1,,,,
TOMM5,0,0,0,0,0,0,0,0,0,1,1,,,,
TNFAIP8L1,0,0,0,0,0,0,0,0,0,0,1,,,,
STYK1,0,0,0,0,0,0,0,0,0,0,1,,,,
NDUFAF1,0,0,1,0,0,0,0,0,0,0,1,,,,
SQSTM1,0,0,0,0,0,0,0,0,0,1,1,,,,
TRPM7,0,0,0,0,0,0,0,0,0,0,1,,,,
HJURP,0,0,0,0,0,0,0,0,0,0,1,,,,
LRRC31,0,0,0,0,0,0,1,0,1,1,1,,,,
NECAP1,0,0,0,0,0,0,0,0,0,0,1,,,,
PTBP3,0,0,0,0,0,0,0,0,0,0,1,,,,
MAP3K13,0,0,0,0,0,0,0,0,0,0,1,,,,
GJC1,0,0,0,1,1,0,0,0,0,0,1,,,,
TMEM126A,0,0,1,1,0,0,0,0,0,0,1,,,,
MUL1,0,0,0,0,0,0,0,0,0,0,1,,,,
USB1,0,0,0,0,0,0,0,0,0,0,1,,,,
GLB1,0,0,0,0,0,0,0,0,0,0,1,,,,
GNAL,0,0,0,0,0,0,0,0,0,0,1,,,,
VAV2,0,0,0,0,0,0,0,0,1,0,1,,,,
BTBD7,0,0,0,0,0,0,0,0,0,0,1,,,,
DNAJA1,0,0,0,0,0,0,0,0,0,0,1,,,,
ARRDC2,0,0,0,0,0,0,0,0,0,0,1,,,,
DXO,0,0,0,0,0,0,0,0,0,0,1,,,,
SNX17,0,0,0,0,0,0,0,0,0,0,1,,,,
RP1,0,0,0,0,1,0,0,0,0,0,1,,,,
RAF1,0,0,0,0,0,0,0,0,0,0,1,,,,
AREG,0,0,0,0,0,0,0,0,0,1,1,,,,
C6orf222,0,0,0,0,0,0,0,1,0,0,1,,,,
ZC3H6,0,0,1,0,1,0,0,0,0,0,1,,,,
ZNF320,0,0,0,1,1,0,0,0,0,0,1,,,,
XK,0,0,0,0,1,0,0,0,0,0,1,,,,
GKAP1,0,0,1,1,1,0,0,0,0,0,1,,,,
PID1,0,0,0,0,0,0,0,0,1,1,1,,,,
SMARCD1,0,0,0,0,0,0,0,0,0,0,1,,,,
AMOTL1,0,0,0,0,0,0,0,0,0,0,1,,,,
LSM10,0,0,0,0,0,0,0,0,0,0,1,,,,
TBL2,0,0,0,0,0,0,0,0,0,0,1,,,,
LINC00261,0,0,0,0,1,0,0,0,0,0,1,,,,
MBIP,0,0,0,0,0,0,0,0,0,0,1,,,,
